Unnamed: 0,do,did,is doing,was doing,want to do,wanted to do,can do,could do,It's ok do,It was ok do,please do,I do and...,let's do,shall I do?,order
,見ません,見ませんでした,見ていません,見ていませんでした,見たくないです,見たくなかったです,見えません,見えませんでした,見なくてもいいです,見なくてもよかったです,見ないでください,見ませんでして,,,見てはいけません
brush tooth,歯をみがく,歯をみがいた,歯をみがいている,歯をみがいていた,歯をみがきたい,歯をみがきたかった,歯をみがける,歯をみがけた,歯をみがいてもいい,歯をみがいてもよかった,歯をみがいて,歯をみがいて,歯をみがこう,歯をみがこうか？,歯をみがけ
,歯をみがかない,歯をみがかなかった,歯をみがいていない,歯をみがいていなかった,歯をみがきたくない,歯をみがきたくなかった,歯をみがけない,歯をみがけなかった,歯をみがかなくてもいい,歯をみがかなくてもよかった,歯をみがかないで,歯をみがかなくて,,,歯をみがくな
,歯をみがきます,歯をみがきました,歯をみがいています,歯をみがいていました,歯をみがきたいです,歯をみがきたかったです,歯をみがけます,歯をみがけます,歯をみがいてもいいです,歯をみがいてもよかったです,歯をみがいてください,歯をみがきまして,歯をみがきましょう,歯をみがきましょうか？,歯をみがきなさい
,歯をみがきません,歯をみがきませんでした,歯をみがいていません,歯をみがいていませんでした,歯をみがきたくないです,歯をみがきたくなかったです,歯をみがけません,歯をみがけませんでした,歯をみがかなくてもいいです,歯をみがかなくてもよかったです,歯をみがかないでください,歯をみがきませんでして,,,歯をみがいてはいけません
meet,会う,会った,会っている,会っていた,会いたい,会いたかった,会える,会えた,会ってもいい,会ってもよかった,会って,会って,会おう,会おうか？,会え
,会わない,会わなかった,会っていない,会っていなかった,会いたくない,会いたくなかった,会えない,会えなかった,会わなくてもいい,会わなくてもよかった,会わないで,会わなくて,,,会うな
,会います,会いました,会っています,会っていました,会いたいです,会いたかったです,会えます,会えました,会ってもいいです,会ってもよかったです,会ってください,会いまして,会いましょう,会いましょうか？,会いなさい
,会いません,会いませんでした,会っていません,会っていませんでした,会いたくないです,会いたくなかったです,会えません,会えませんでした,会わなくてもいいです,会わなくてもよかったです,会わないでください,会いませんでして,,,会ってはいけません
open,開く,開いた,開いている,開いていた,開きたい,開きたかった,開ける,開けた,開いてもいい,開いてもよかった,開いて,開いて,開こう,開こうか？,開け
,開かない,開かなかった,開いていない,開いていなかった,開きたくない,開きたくなかった,開けない,開けなかった,開かなくてもいい,開かなくてもよかった,開かないで,開かなくて,,,開くな
,開きます,開きました,開いています,開いていました,開きたいです,開きたかったです,開けます,開けました,開いてもいいです,開いてもよかったです,開いてください,開きまして,開きましょう,開きましょうか？,開きなさい
,開きません,開きませんでした,開いていません,開いていませんでした,開きたくないです,開きたくなかったです,開けません,開けませんでした,開かなくてもいいです,開かなくてもよかったです,開かないでください,開きませんでして,,,開いてはいけません
open,開ける,開けた,開けている,開けていた,開けたい,開けたかった,開けられる,開けられた,開けてもいい,開けてもよかった,開けて,開けて,開けよう,開けようか？,開けろ
,開けない,開けなかった,開けていない,開けていなかった,開けたくない,開けたくなかった,開けられない,開けられなかった,開けなくてもいい,開けなくてもよかった,開けないで,開けなくて,,,開けるな
,開けます,開けました,開けています,開けていました,開けたいです,開けたかったです,開けられます,開けられました,開けてもいいです,開けてもよかったです,開けてください,開けまして,開けましょう,開けましょうか？,開けなさい
,開けません,開けませんでした,開けていません,開けていませんでした,開けたくないです,開けたくなかったです,開けられません,開けられませんでした,開けなくてもいいです,開けなくてもよかったです,開けないでください,開けませんでして,,,開けてはいけません
give,あげる,あげた,あげている,あげていた,あげたい,あげたかった,あげられる,あげられた,あげてもいい,あげてもよかった,あげて,あげて,あげよう,あげようか？,あげろ
,あげない,あげなかった,あげていない,あげていなかった,あげたくない,あげたくなかった,あげられない,あげられなかった,あげなくてもいい,あげなくてもよかった,あげないで,あげなくて,,,あげるな
,あげます,あげました,あげています,あげていました,あげたいです,あげたかったです,あげられます,あげられました,あげてもいいです,あげてもよかったです,あげてください,あげまして,あげましょう,あげましょうか？,あげなさい
,あげません,あげませんでした,あげていません,あげていませんでした,あげたくないです,あげたくなかったです,あげられません,あげられませんでした,あげなくてもいいです,あげなくてもよかったです,あげないでください,あげませんでして,,,あげてはいけません
play,遊ぶ,遊んだ,遊んでいる,遊んでいた,遊びたい,遊びたかった,遊べる,遊べた,遊んでもいい,遊んでもよかった,遊んで,遊んで,遊ぼう,遊ぼうか？,遊べ
,遊ばない,遊ばなかった,遊んでいない,遊んでいなかった,遊びたくない,遊びたくなかった,遊べない,遊べなかった,遊ばなくてもいい,遊ばなくてもよかった,遊ばないで,遊ばなくて,,,遊ぶな
,遊びます,遊びました,遊んでいます,遊んでいました,遊びたいです,遊びたかったです,遊べます,遊べました,遊んでもいいです,遊んでもよかったです,遊んでください,遊びまして,遊びましょう,遊びましょうか？,遊びなさい
,遊びません,遊びませんでした,遊んでいません,遊んでいませんでした,遊びたくないです,遊びたくなかったです,遊べません,遊べませんでした,遊ばなくてもいいです,遊ばなくてもよかったです,遊ばないでください,遊びませんでして,,,遊んではいけません
take a shower,浴びる,浴びた,浴びている,浴びていた,浴びたい,浴びたかった,浴びられる,浴びられた,浴びてもいい,浴びてもよかった,浴びて,浴びて,浴びよう,浴びようか？,浴びろ
,浴びない,浴びなかった,浴びていない,浴びていなかった,浴びたくない,浴びたくなかった,浴びられない,浴びられなかった,浴びなくてもいい,浴びなくてもよかった,浴びないで,浴びなくて,,,浴びるな
,浴びます,浴びました,浴びています,浴びていました,浴びたいです,浴びたかったです,浴びられます,浴びられました,浴びてもいいです,浴びてもよかったです,浴びてください,浴びまして,浴びましょう,浴びましょうか？,浴びなさい
,浴びません,浴びませんでした,浴びていません,浴びていませんでした,浴びたくないです,浴びたくなかったです,浴びられません,浴びられませんでした,浴びなくてもいいです,浴びなくてもよかったです,浴びないでください,浴びませんでして,,,浴びてはいけません
wash,洗う,洗った,洗っている,洗っていた,洗いたい,洗いたかった,洗える,洗えた,洗ってもいい,洗ってもよかった,洗って,洗って,洗おう,洗おうか？,洗え
,洗わない,洗わなかった,洗っていない,洗っていなかった,洗いたくない,洗いたくなかった,洗えない,洗えなかった,洗わなくてもいい,洗わなくてもよかった,洗わないで,洗わなくて,,,洗うな
,洗います,洗いました,洗っています,洗っていました,洗いたいです,洗いたかったです,洗えます,洗えました,洗ってもいいです,洗ってもよかったです,洗ってください,洗いまして,洗いましょう,洗いましょうか？,洗いなさい
,洗いません,洗いませんでした,洗っていません,洗っていませんでした,洗いたくないです,洗いたくなかったです,洗えません,洗えませんでした,洗わなくてもいいです,洗わなくてもよかったです,洗わないでください,洗いませんでして,,,洗ってはいけません
"be, exist",有る,あった,あっている,あっていた,,,,,あってもいい,あってもよかった,あって,あって,あよう,あようか？,有れ
,ない,なかった,あっていない,あっていなかった,,,,,なくてもいい,なくてもよかった,ないで,なくて,,,有るな
,あります,ありました,あっています,あっていました,です,です,,,あってもいいです,あってもよかったです,あってください,ありまして,ありましょう,ありましょうか？,ありなさい
,ありません,ありませんでした,あっていません,あっていませんでした,です,です,,,なくてもいいです,なくてもよかったです,ないでください,ありませんでして,,,あってはいけません
possess,ある,あった,あっている,あっていた,,,,,あってもいい,あってもよかった,あって,あって,あよう,あようか？,あれ
,ない,なかった,あっていない,あっていなかった,,,,,なくてもいい,なくてもよかった,ないで,なくて,,,あるな
,あります,ありました,あっています,あっていました,です,です,,,あってもいいです,あってもよかったです,あってください,ありまして,ありましょう,ありましょうか？,ありなさい
,ありません,ありませんでした,あっていません,あっていませんでした,です,です,,,なくてもいいです,なくてもよかったです,ないでください,ありませんでして,,,あってはいけません
walk,歩く,歩いた,歩いている,歩いていた,歩きたい,歩きたかった,歩ける,歩けた,歩いてもいい,歩いてもよかった,歩いて,歩いて,歩こう,歩こうか？,歩け
,歩かない,歩かなかった,歩いていない,歩いていなかった,歩きたくない,歩きたくなかった,歩けない,歩けなかった,歩かなくてもいい,歩かなくてもよかった,歩かないで,歩かなくて,,,歩くな
,歩きます,歩きました,歩いています,歩いていました,歩きたいです,歩きたかったです,歩けます,歩けました,歩いてもいいです,歩いてもよかったです,歩いてください,歩きまして,歩きましょう,歩きましょうか？,歩きなさい
,歩きません,歩きませんでした,歩いていません,歩いていませんでした,歩きたくないです,歩きたくなかったです,歩けません,歩けませんでした,歩かなくてもいいです,歩かなくてもよかったです,歩かないでください,歩きませんでして,,,歩いてはいけません
"say, tell",言う,言った,言っている,言っていた,言いたい,言いたかった,言える,言えた,言ってもいい,言ってもよかった,言って,言って,言おう,言おうか？,言え
,言わない,言わなかった,言っていない,言っていなかった,言いたくない,言いたくなかった,言えない,言えなかった,言わなくてもいい,言わなくてもよかった,言わないで,言わなくて,,,言うな
,言います,言いました,言っています,言っていました,言いたいです,言いたかったです,言えます,言えました,言ってもいいです,言ってもよかったです,言ってください,言いまして,言いましょう,言いましょうか？,言いなさい
,言いません,言いませんでした,言っていません,言っていませんでした,言いたくないです,言いたくなかったです,言えません,言えませんでした,言わなくてもいいです,言わなくてもよかったです,言わないでください,言いませんでして,,,言ってはいけません
go,行く,行った,行っている,行っていた,行きたい,行きたかった,行ける,行けた,行ってもいい,行ってもよかった,行って,行って,行こう,行こうか？,行け
,行かない,行かなかった,行っていない,行っていなかった,行きたくない,行きたくなかった,行けない,行けなかった,行かなくてもいい,行かなくてもよかった,行かないで,行かなくて,,,行くな
,行きます,行きました,行っています,行っていました,行きたいです,行きたかったです,行けます,行けました,行ってもいいです,行ってもよかったです,行ってください,行きまして,行きましょう,行きましょうか？,行きなさい
,行きません,行きませんでした,行っていません,行っていませんでした,行きたくないです,行きたくなかったです,行けません,行けませんでした,行かなくてもいいです,行かなくてもよかったです,行かないでください,行きませんでして,,,行ってはいけません
need / be (exist),いる,いた,いている,いていた,いたい,いたかった,いられる,いられた,いてもいい,いてもよかった,いて,いて,いよう,いようか？,いろ
,いない,いなかった,いていない,いていなかった,いたくない,いたくなかった,いられない,いられなかった,いなくてもいい,いなくてもよかった,いないで,いなくて,,,いるな
,います,いました,いています,いていました,いたいです,いたかったです,いられます,いられました,いてもいいです,いてもよかったです,いてください,いまして,いましょう,いましょうか？,いなさい
,いません,いませんでした,いていません,いていませんでした,いたくないです,いたくなかったです,いられません,いられませんでした,いなくてもいいです,いなくてもよかったです,いないでください,いませんでして,,,いてはいけません
"insert, put in",入れる,入れた,入れている,入れていた,入れたい,入れたかった,入れられる,入れられた,入れてもいい,入れてもよかった,入れて,入れて,入れよう,入れようか？,入れろ
,入れない,入れなかった,入れていない,入れていなかった,入れたくない,入れたくなかった,入れられない,入れられなかった,入れなくてもいい,入れなくてもよかった,入れないで,入れなくて,,,入れるな
,入れます,入れました,入れています,入れていました,入れたいです,入れたかったです,入れられます,入れられました,入れてもいいです,入れてもよかったです,入れてください,入れまして,入れましょう,入れましょうか？,入れなさい
,入れません,入れませんでした,入れていません,入れていませんでした,入れたくないです,入れたくなかったです,入れられません,入れられませんでした,入れなくてもいいです,入れなくてもよかったです,入れないでください,入れませんでして,,,入れてはいけません
sing,歌う,歌った,歌っている,歌っていた,歌いたい,歌いたかった,歌える,歌えた,歌ってもいい,歌ってもよかった,歌って,歌って,歌おう,歌おうか？,歌え
,歌わない,歌わなかった,歌っていない,歌っていなかった,歌いたくない,歌いたくなかった,歌えない,歌えなかった,歌わなくてもいい,歌わなくてもよかった,歌わないで,歌わなくて,,,歌うな
,歌います,歌いました,歌っています,歌っていました,歌いたいです,歌いたかったです,歌えます,歌えました,歌ってもいいです,歌ってもよかったです,歌ってください,歌いまして,歌いましょう,歌いましょうか？,歌いなさい
,歌いません,歌いませんでした,歌っていません,歌っていませんでした,歌いたくないです,歌いたくなかったです,歌えません,歌えませんでした,歌わなくてもいいです,歌わなくてもよかったです,歌わないでください,歌いませんでして,,,歌ってはいけません
be born,生まれる,生まれた,生まれている,生まれていた,生まれたい,生まれたかった,生まれられる,生まれられた,生まれてもいい,生まれてもよかった,生まれて,生まれて,生まれよう,生まれようか？,生まれろ
,生まれない,生まれなかった,生まれていない,生まれていなかった,生まれたくない,生まれたくなかった,生まれられない,生まれられなかった,生まれなくてもいい,生まれなくてもよかった,生まれないで,生まれなくて,,,生まれるな
,生まれます,生まれました,生まれています,生まれていました,生まれたいです,生まれたかったです,生まれられます,生まれられました,生まれてもいいです,生まれてもよかったです,生まれてください,生まれまして,生まれましょう,生まれましょうか？,生まれなさい
,生まれません,生まれませんでした,生まれていません,生まれていませんでした,生まれたくないです,生まれたくなかったです,生まれられません,生まれられませんでした,生まれなくてもいいです,生まれなくてもよかったです,生まれないでください,生まれませんでして,,,生まれてはいけません
sell,売る,売った,売っている,売っていた,売りたい,売りたかった,売れる,売れた,売ってもいい,売ってもよかった,売って,売って,売ろう,売ろうか？,売れ
,売らない,売らなかった,売っていない,売っていなかった,売りたくない,売りたくなかった,売れない,売れなかった,売らなくてもいい,売らなくてもよかった,売らないで,売らなくて,,,売るな
,売ります,売りました,売っています,売っていました,売りたいです,売りたかったです,売れます,売れました,売ってもいいです,売ってもよかったです,売ってください,売りまして,売りましょう,売りましょうか？,売りなさい
,売りません,売りませんでした,売っていません,売っていませんでした,売りたくないです,売りたくなかったです,売れません,売れませんでした,売らなくてもいいです,売らなくてもよかったです,売らないでください,売りませんでして,,,売ってはいけません
"get up, stand up",起きる,起きた,起きている,起きていた,起きたい,起きたかった,起きられる,起きられた,起きてもいい,起きてもよかった,起きて,起きて,起きよう,起きようか？,起きろ
,起きない,起きなかった,起きていない,起きていなかった,起きたくない,起きたくなかった,起きられない,起きられなかった,起きなくてもいい,起きなくてもよかった,起きないで,起きなくて,,,起きるな
,起きます,起きました,起きています,起きていました,起きたいです,起きたかったです,起きられます,起きられました,起きてもいいです,起きてもよかったです,起きてください,起きまして,起きましょう,起きましょうか？,起きなさい
,起きません,起きませんでした,起きていません,起きていませんでした,起きたくないです,起きたくなかったです,起きられません,起きられませんでした,起きなくてもいいです,起きなくてもよかったです,起きないでください,起きませんでして,,,起きてはいけません
put,おく,おいた,おいている,おいていた,おきたい,おきたかった,おける,おけた,おいてもいい,おいてもよかった,おいて,おいて,おこう,おこうか？,おけ
,おかない,おかなかった,おいていない,おいていなかった,おきたくない,おきたくなかった,おけない,おけなかった,おかなくてもいい,おかなくてもよかった,おかないで,おかなくて,,,おくな
,おきます,おきました,おいています,おいていました,おきたいです,おきたかったです,おけます,おけました,おいてもいいです,おいてもよかったです,おいてください,おきまして,おきましょう,おきましょうか？,おきなさい
,おきません,おきませんでした,おいていません,おいていませんでした,おきたくないです,おきたくなかったです,おけません,おけませんでした,おかなくてもいいです,おかなくてもよかったです,おかないでください,おきませんでして,,,おいてはいけません
send,送る,送った,送っている,送っていた,送りたい,送りたかった,送れる,送れた,送ってもいい,送ってもよかった,送って,送って,送ろう,送ろうか？,送れ
,送らない,送らなかった,送っていない,送っていなかった,送りたくない,送りたくなかった,送れない,送れなかった,送らなくてもいい,送らなくてもよかった,送らないで,送らなくて,,,送るな
,送ります,送りました,送っています,送っていました,送りたいです,送りたかったです,送れます,送れました,送ってもいいです,送ってもよかったです,送ってください,送りまして,送りましょう,送りましょうか？,送りなさい
,送りません,送りませんでした,送っていません,送っていませんでした,送りたくないです,送りたくなかったです,送れません,送れませんでした,送らなくてもいいです,送らなくてもよかったです,送らないでください,送りませんでして,,,送ってはいけません
push,押す,押した,押している,押していた,押したい,押したかった,押せる,押せた,押してもいい,押してもよかった,押して,押して,押そう,押そうか？,押せ
,押さない,押さなかった,押していない,押していなかった,押したくない,押したくなかった,押せない,押せなかった,押さなくてもいい,押さなくてもよかった,押さないで,押さなくて,,,押すな
,押します,押しました,押しています,押していました,押したいです,押したかったです,押せます,押せました,押してもいいです,押してもよかったです,押してください,押しまして,押しましょう,押しましょうか？,押しなさい
,押しません,押しませんでした,押していません,押していませんでした,押したくないです,押したくなかったです,押せません,押せませんでした,押さなくてもいいです,押さなくてもよかったです,押さないでください,押しませんでして,,,押してはいけません
"memorize, remember",覚える,覚えた,覚えている,覚えていた,覚えたい,覚えたかった,覚えられる,覚えられた,覚えてもいい,覚えてもよかった,覚えて,覚えて,覚えよう,覚えようか？,覚えろ
,覚えない,覚えなかった,覚えていない,覚えていなかった,覚えたくない,覚えたくなかった,覚えられない,覚えられなかった,覚えなくてもいい,覚えなくてもよかった,覚えないで,覚えなくて,,,覚えるな
,覚えます,覚えました,覚えています,覚えていました,覚えたいです,覚えたかったです,覚えられます,覚えられました,覚えてもいいです,覚えてもよかったです,覚えてください,覚えまして,覚えましょう,覚えましょうか？,覚えなさい
,覚えません,覚えませんでした,覚えていません,覚えていませんでした,覚えたくないです,覚えたくなかったです,覚えられません,覚えられませんでした,覚えなくてもいいです,覚えなくてもよかったです,覚えないでください,覚えませんでして,,,覚えてはいけません
swim,泳ぐ,泳いだ,泳いでいる,泳いでいた,泳ぎたい,泳ぎたかった,泳げる,泳げた,泳いでもいい,泳いでもよかった,泳いで,泳いで,泳ごう,泳ごうか？,泳げ
,泳がない,泳がなかった,泳いでいない,泳いでいなかった,泳ぎたくない,泳ぎたくなかった,泳げない,泳げなかった,泳がなくてもいい,泳がなくてもよかった,泳がないで,泳がなくて,,,泳ぐな
,泳ぎます,泳ぎました,泳いでいます,泳いでいました,泳ぎたいです,泳ぎたかったです,泳げます,泳げました,泳いでもいいです,泳いでもよかったです,泳いでください,泳ぎまして,泳ぎましょう,泳ぎましょうか？,泳ぎなさい
,泳ぎません,泳ぎませんでした,泳いでいません,泳いでいませんでした,泳ぎたくないです,泳ぎたくなかったです,泳げません,泳げませんでした,泳がなくてもいいです,泳がなくてもよかったです,泳がないでください,泳ぎませんでして,,,泳いではいけません
get off,降りる,降りた,降りている,降りていた,降りたい,降りたかった,降りられる,降りられた,降りてもいい,降りてもよかった,降りて,降りて,降りよう,降りようか？,降りろ
,降りない,降りなかった,降りていない,降りていなかった,降りたくない,降りたくなかった,降りられない,降りられなかった,降りなくてもいい,降りなくてもよかった,降りないで,降りなくて,,,降りるな
,降ります,降りました,降りています,降りていました,降りたいです,降りたかったです,降りられます,降りられました,降りてもいいです,降りてもよかったです,降りてください,降りまして,降りましょう,降りましょうか？,降りなさい
,降りません,降りませんでした,降りていません,降りていませんでした,降りたくないです,降りたくなかったです,降りられません,降りられませんでした,降りなくてもいいです,降りなくてもよかったです,降りないでください,降りませんでして,,,降りてはいけません
end,終わる,終わった,終わっている,終わっていた,終わりたい,終わりたかった,終われる,終われた,終わってもいい,終わってもよかった,終わって,終わって,終わろう,終わろうか？,終われ
,終わらない,終わらなかった,終わっていない,終わっていなかった,終わりたくない,終わりたくなかった,終われない,終われなかった,終わらなくてもいい,終わらなくてもよかった,終わらないで,終わらなくて,,,終わるな
,終わります,終わりました,終わっています,終わっていました,終わりたいです,終わりたかったです,終われます,終われました,終わってもいいです,終わってもよかったです,終わってください,終わりまして,終わりましょう,終わりましょうか？,終わりなさい
,終わりません,終わりませんでした,終わっていません,終わっていませんでした,終わりたくないです,終わりたくなかったです,終われません,終われませんでした,終わらなくてもいいです,終わらなくてもよかったです,終わらないでください,終わりませんでして,,,終わってはいけません
buy,買う,買った,買っている,買っていた,買いたい,買いたかった,買える,買えた,買ってもいい,買ってもよかった,買って,買って,買おう,買おうか？,買え
,買わない,買わなかった,買っていない,買っていなかった,買いたくない,買いたくなかった,買えない,買えなかった,買わなくてもいい,買わなくてもよかった,買わないで,買わなくて,,,買うな
,買います,買いました,買っています,買っていました,買いたいです,買いたかったです,買えます,買えました,買ってもいいです,買ってもよかったです,買ってください,買いまして,買いましょう,買いましょうか？,買いなさい
,買いません,買いませんでした,買っていません,買っていませんでした,買いたくないです,買いたくなかったです,買えません,買えませんでした,買わなくてもいいです,買わなくてもよかったです,買わないでください,買いませんでして,,,買ってはいけません
return an object,返す,返した,返している,返していた,返したい,返したかった,返せる,返せた,返してもいい,返してもよかった,返して,返して,返そう,返そうか？,返せ
,返さない,返さなかった,返していない,返していなかった,返したくない,返したくなかった,返せない,返せなかった,返さなくてもいい,返さなくてもよかった,返さないで,返さなくて,,,返すな
,返します,返しました,返しています,返していました,返したいです,返したかったです,返せます,返せました,返してもいいです,返してもよかったです,返してください,返しまして,返しましょう,返しましょうか？,返しなさい
,返しません,返しませんでした,返していません,返していませんでした,返したくないです,返したくなかったです,返せません,返せませんでした,返さなくてもいいです,返さなくてもよかったです,返さないでください,返しませんでして,,,返してはいけません
return home,帰る,帰った,帰っている,帰っていた,帰りたい,帰りたかった,帰れる,帰れた,帰ってもいい,帰ってもよかった,帰って,帰って,帰ろう,帰ろうか？,帰れ
,帰らない,帰らなかった,帰っていない,帰っていなかった,帰りたくない,帰りたくなかった,帰れない,帰れなかった,帰らなくてもいい,帰らなくてもよかった,帰らないで,帰らなくて,,,帰るな
,帰ります,帰りました,帰っています,帰っていました,帰りたいです,帰りたかったです,帰れます,帰れました,帰ってもいいです,帰ってもよかったです,帰ってください,帰りまして,帰りましょう,帰りましょうか？,帰りなさい
,帰りません,帰りませんでした,帰っていません,帰っていませんでした,帰りたくないです,帰りたくなかったです,帰れません,帰れませんでした,帰らなくてもいいです,帰らなくてもよかったです,帰らないでください,帰りませんでして,,,帰ってはいけません
take time or money,かかる,かかった,かかっている,かかっていた,かかりたい,かかりたかった,かかれる,かかれた,かかってもいい,かかってもよかった,かかって,かかって,かかろう,かかろうか？,かかれ
,かからない,かからなかった,かかっていない,かかっていなかった,かかりたくない,かかりたくなかった,かかれない,かかれなかった,かからなくてもいい,かからなくてもよかった,かからないで,かからなくて,,,かかるな
,かかります,かかりました,かかっています,かかっていました,かかりたいです,かかりたかったです,かかれます,かかれました,かかってもいいです,かかってもよかったです,かかってください,かかりまして,かかりましょう,かかりましょうか？,かかりなさい
,かかりません,かかりませんでした,かかっていません,かかっていませんでした,かかりたくないです,かかりたくなかったです,かかれません,かかれませんでした,かからなくてもいいです,かからなくてもよかったです,かからないでください,かかりませんでして,,,かかってはいけません
write,書く,書いた,書いている,書いていた,書きたい,書きたかった,書ける,書けた,書いてもいい,書いてもよかった,書いて,書いて,書こう,書こうか？,書け
,書かない,書かなかった,書いていない,書いていなかった,書きたくない,書きたくなかった,書けない,書けなかった,書かなくてもいい,書かなくてもよかった,書かないで,書かなくて,,,書くな
,書きます,書きました,書いています,書いていました,書きたいです,書きたかったです,書けます,書けました,書いてもいいです,書いてもよかったです,書いてください,書きまして,書きましょう,書きましょうか？,書きなさい
,書きません,書きませんでした,書いていません,書いていませんでした,書きたくないです,書きたくなかったです,書けません,書けませんでした,書かなくてもいいです,書かなくてもよかったです,書かないでください,書きませんでして,,,書いてはいけません
wear / make a phone call,かける,かけた,かけている,かけていた,かけたい,かけたかった,かけられる,かけられた,かけてもいい,かけてもよかった,かけて,かけて,かけよう,かけようか？,かけろ
,かけない,かけなかった,かけていない,かけていなかった,かけたくない,かけたくなかった,かけられない,かけられなかった,かけなくてもいい,かけなくてもよかった,かけないで,かけなくて,,,かけるな
,かけます,かけました,かけています,かけていました,かけたいです,かけたかったです,かけられます,かけられました,かけてもいいです,かけてもよかったです,かけてください,かけまして,かけましょう,かけましょうか？,かけなさい
,かけません,かけませんでした,かけていません,かけていませんでした,かけたくないです,かけたくなかったです,かけられません,かけられませんでした,かけなくてもいいです,かけなくてもよかったです,かけないでください,かけませんでして,,,かけてはいけません
lend,貸す,貸した,貸している,貸していた,貸したい,貸したかった,貸せる,貸せた,貸してもいい,貸してもよかった,貸して,貸して,貸そう,貸そうか？,貸せ
,貸さない,貸さなかった,貸していない,貸していなかった,貸したくない,貸したくなかった,貸せない,貸せなかった,貸さなくてもいい,貸さなくてもよかった,貸さないで,貸さなくて,,,貸すな
,貸します,貸しました,貸しています,貸していました,貸したいです,貸したかったです,貸せます,貸せました,貸してもいいです,貸してもよかったです,貸してください,貸しまして,貸しましょう,貸しましょうか？,貸しなさい
